epoch,cnn_train_mse,cnn_val_rmse,pinn_total_loss,pinn_data_loss,pinn_physics_loss,pinn_val_rmse
1,6806.860545115428,64.1248550415039,2785.99690100787,2785.3254218574043,0.6714791504649427,45.300689697265625
2,2522.917830183699,47.37211990356445,1107.0269529498376,1105.5568270296665,1.4701259201711363,38.299964904785156
3,1423.7153072872677,41.7362060546875,662.1432086795302,658.9682553952879,3.1749532842421324,28.869796752929688
4,1014.1640894434473,36.74630355834961,441.28418315552375,437.89893980283995,3.3852433526838173,24.969608306884766
5,741.3744509585268,31.021055221557617,353.5672320716015,350.0702012895464,3.49703078205521,23.45267677307129
6,554.5769139195347,26.726966857910156,295.5940190068235,291.8342715426608,3.759747464162811,22.252626419067383
7,482.01341948638094,25.11046600341797,257.6020965408634,253.48548751693588,4.11660902392757,20.825942993164062
8,450.80743105776673,24.291975021362305,221.02677981531298,216.5534641850102,4.473315630302772,19.692968368530273
9,428.60463570259714,23.611236572265625,194.64144852311762,189.8598792273719,4.781569295745711,19.4176082611084
10,409.37547728392457,23.381011962890625,175.6199069452715,170.5395309173309,5.080376027940628,18.71738624572754
11,392.88991869677295,22.97547149658203,159.89538556391045,154.5541418264578,5.341243737452739,18.195493698120117
12,377.092440493472,22.271923065185547,142.68832970438774,137.5958549568245,5.092474747563268,18.19820785522461
13,362.26804551133165,22.196815490722656,132.96546489526563,127.6552484185846,5.310216476680996,17.68304443359375
14,348.66150617169905,21.855249404907227,123.45093889365319,118.45069665307398,5.000242240579277,17.675983428955078
15,335.22713422345686,21.746217727661133,115.24096096485589,110.48657247182486,4.754388493030993,18.085783004760742
16,322.9934642894848,21.49662208557129,108.67019702872712,103.94335277660473,4.726844252122414,17.52500343322754
17,311.452892956433,20.957529067993164,99.30049650432827,94.78367013329859,4.51682637102969,17.749605178833008
18,300.75466534038924,21.0363712310791,100.18330008919173,95.79260247032921,4.390697618862529,17.776031494140625
19,,,90.05477798994595,85.85700950966225,4.197768480283721,17.24518585205078
20,,,84.50355722302785,80.57691828409831,3.926638938929582,17.21871566772461
21,,,77.55994703361581,73.64462084383578,3.9153261897800227,17.62872314453125
22,,,74.07862294987514,70.4474368396106,3.631186110264544,17.71124839782715
